Year,Population_Million,Inflation_Rate,Unemployment_Rate,Exports_USD_Billion,Imports_USD_Billion,FDI_USD_Billion,Industrial_Growth_Rate,Services_Growth_Rate,Agriculture_Growth_Rate,Government_Expenditure_PctGDP,Fiscal_Deficit_PctGDP,Interest_Rate,Exchange_Rate_INR_USD,Energy_Consumption_TWh,GDP_Growth_Rate
2000,1354.24,5.31,6.55,269.39,536.24,26.65,6.82,4.32,0.5,11.73,-4.05,5.84,58.33,750.3,1.27
2000,1178.71,4.73,3.98,338.55,714.62,56.21,11.64,8.52,4.2,23.57,-4.09,6.98,76.33,1020.25,5.22
2000,1098.91,5.45,5.29,218.2,270.95,9.16,7.37,7.26,5.29,18.68,-5.82,2.95,73.65,1457.16,1.97
2000,1377.05,0.54,3.1,291.61,668.34,62.32,5.76,7.21,6.1,18.26,-5.48,8.48,74.99,1310.95,3.7
2000,1349.73,5.92,7.06,314.76,237.97,40.34,7.6,7.81,6.02,14.4,-4.87,6.66,73.09,941.67,3.15
2000,1302.69,6.15,7.48,284.43,448.41,47.46,5.42,4.06,4.05,14.9,-7.35,7.06,82.59,1420.38,2.02
2000,1138.82,5.53,4.6,385.15,287.69,21.09,1.94,8.14,0.01,13.9,-6.4,7.86,59.1,1383,2.15
2000,1058.72,5.96,4.68,199.64,504.44,27.68,5.31,5.29,5.33,15.97,-6.84,8.07,68.66,1282.25,1.85
2000,1224.76,4.93,3.28,444.32,489.66,55.98,4.77,9.67,2.38,18.04,-5.81,6.47,61.71,943.06,4.26
2000,1358.18,5.16,6.73,410.28,470.81,55.89,4.68,8.68,1.28,17.1,-6.63,6.66,54.69,1138.26,3.23
2000,1021.75,4.66,3.27,233.66,355.17,18.99,4.58,6.46,4.86,17.23,-5.3,4.78,65.63,1455.42,2.31
2000,1100.01,4.52,10.4,193.83,463.04,32.5,3.51,7.64,3.67,18.92,-8.24,5.98,76.89,1598.67,1.14
2000,1161.75,7.4,4.22,322.98,277.76,52.57,7.69,7.65,2.17,13.38,-7.93,6.76,54.22,1145.18,3.92
2000,1177.94,2,8.49,270.63,485.07,39.35,3.4,10.08,2.45,12.89,-5.16,7.66,67.04,1540.78,2.98
2000,1308,6.77,6.84,346.19,183.87,36.8,9.59,7.24,2.18,12.38,-8.22,6.79,73.53,925.11,2.22
2000,1161.82,7.9,9.71,549.04,727.21,56.43,5.8,6.19,3.81,16.81,-3.6,6.69,58.76,1461.56,2.9
2000,1195.92,6.75,9.15,319.01,420.78,47.42,1.11,7.74,3.52,15.3,-3.51,6.67,68.69,1163.93,2.42
2000,1328.03,8.05,7.13,252.07,406.94,52.56,5.01,10.15,2.95,17.01,-2.49,4.58,73.54,850.93,2.76
2000,1418.5,5.26,5.77,480.52,348.37,10.51,5.43,11.63,2.84,14.57,-6.6,8.03,80.27,1229.32,3.37
2000,1010.59,6.76,5.12,162.09,185.28,42.25,3.82,7.08,7.11,15.47,-5.91,6.68,78.77,1048.16,1.9
2000,1324.41,7.93,7.25,408.4,415.06,44.37,2.23,4.44,3.69,7.66,-5.55,6.4,77.41,1136.68,2.44
2000,1208.15,3.89,3.35,260.61,329.7,25.38,7.24,5.61,2.53,11.89,-5.55,7.56,59.81,1477.71,2.71
2000,1290.18,5.72,4.16,308.35,419.27,9.19,5.79,7.52,2.19,13.98,-4.79,5.36,59.24,1080.47,1.82
2000,1270.33,5.46,6.31,147.33,479.69,39.89,8.88,4.46,4.86,15.02,-5.79,7.01,76.04,901.75,2.48
2000,1355.28,4.07,6.76,388.48,537.07,73.49,6.46,5.47,2.92,17.32,-6.61,4.76,62.59,1396.43,2.76
2000,1170.99,2.93,2.63,523.22,756.54,48.08,6.69,4.35,5.27,10.7,-7.43,9.12,61.3,1014.19,4.23
2000,1167.57,3.9,6.29,560.54,100.64,40.82,4.32,7.27,3.42,13.5,-4.26,4.49,73.47,1740.28,3.31
2000,1397.06,4.94,8.22,309.18,284.59,39.82,6.44,5.16,1.75,10.73,-6.69,2.81,59.45,1156.25,2.59
2000,1132.85,5.94,6.43,248.51,235.24,64.81,2.8,5.96,1.53,15.59,-6.94,4.66,61.94,994.72,2.06
2000,1290.38,6.99,5.72,419.85,467.2,28.26,5.78,8.62,2.72,20.06,-6.43,3.73,60.71,1208.88,3.63
2000,1094.64,5.76,8.12,175.56,374.94,33.97,4.82,2,-0.06,17.17,-6.82,5.39,68.89,1160.05,1.61
2000,1252.29,4.34,9.24,125.94,523.89,56.21,5.72,8.07,3.01,13.78,-5.89,5.95,64.69,989.45,1.55
2000,1115.04,5.16,8.67,388.13,340.42,55.95,1.02,4.23,1.61,16.91,-6.05,8.32,77.06,859.07,2.38
2000,1381.05,6.1,6.25,50,290.67,51.31,9.13,6.91,1.98,16.35,-5.59,6.9,60.88,1105.72,2.95
2000,1257.47,5.93,4.82,298.66,596.15,50.5,4.62,4.78,3.46,14.83,-6.21,7.98,71.37,1743.01,2.06
2000,1152.5,2.29,6.41,456.64,363.36,7.9,6.33,5.31,2.84,14.45,-3.79,7.42,76.52,1348.94,2.32
2000,1264.24,6.7,9.71,312.76,432.09,50.68,4.91,8.65,2.08,17.29,-6.67,4.46,74.68,1318.37,3.11
2000,1492.17,7.47,6.29,59.98,197.16,66.08,5.58,8.14,5.52,11.15,-4.93,3.86,67.31,1042.28,2.73
